end_rounds,n_players,result,winner,iter
6,5,set,A,1
13,5,tie,,2
4,5,set,B,3
4,5,set,D,4
2,5,set,C,5
6,5,set,A,6
4,5,set,B,7
5,5,tie,,8
5,5,set,B,9
8,5,set,A,10
5,5,set,A,11
5,5,set,E,12
5,5,set,E,13
4,5,tie,,14
4,5,set,B,15
3,5,set,C,16
10,5,set,A,17
9,5,tie,,18
17,5,tie,,19
4,5,tie,,20
11,5,set,A,21
5,5,set,B,22
5,5,set,A,23
6,5,set,D,24
2,5,tie,,25
8,5,tie,,26
3,5,set,E,27
8,5,set,D,28
4,5,set,B,29
5,5,set,C,30
25,5,tie,,31
7,5,set,E,32
4,5,set,D,33
1,5,tie,,34
1,5,tie,,35
1,5,tie,,36
9,5,set,D,37
4,5,set,B,38
9,5,set,D,39
1,5,tie,,40
5,5,set,E,41
9,5,set,E,42
17,5,set,A,43
8,5,tie,,44
4,5,set,B,45
10,5,tie,,46
6,5,set,A,47
6,5,set,E,48
1,5,tie,,49
1,5,tie,,50
8,5,set,C,51
4,5,tie,,52
6,5,set,B,53
3,5,set,B,54
7,5,tie,,55
17,5,set,D,56
1,5,tie,,57
1,5,tie,,58
10,5,tie,,59
1,5,tie,,60
4,5,set,A,61
3,5,set,E,62
1,5,tie,,63
14,5,set,D,64
13,5,set,A,65
5,5,set,D,66
11,5,tie,,67
6,5,set,A,68
9,5,tie,,69
16,5,set,C,70
7,5,set,B,71
1,5,tie,,72
9,5,set,D,73
7,5,tie,,74
2,5,tie,,75
12,5,set,A,76
20,5,tie,,77
6,5,set,E,78
4,5,set,D,79
2,5,tie,,80
8,5,set,C,81
6,5,set,E,82
5,5,set,B,83
5,5,set,A,84
7,5,tie,,85
5,5,set,A,86
5,5,tie,,87
12,5,tie,,88
3,5,set,C,89
3,5,set,D,90
4,5,set,A,91
3,5,tie,,92
8,5,tie,,93
5,5,set,D,94
10,5,set,A,95
4,5,set,A,96
14,5,set,C,97
14,5,tie,,98
6,5,tie,,99
3,5,set,C,100
4,5,set,E,101
9,5,set,B,102
2,5,tie,,103
3,5,tie,,104
9,5,tie,,105
1,5,tie,,106
5,5,tie,,107
5,5,tie,,108
2,5,tie,,109
4,5,set,C,110
6,5,set,C,111
1,5,tie,,112
1,5,tie,,113
8,5,set,A,114
8,5,set,A,115
4,5,set,C,116
8,5,set,A,117
4,5,set,E,118
3,5,set,D,119
1,5,tie,,120
19,5,set,E,121
2,5,tie,,122
4,5,set,D,123
6,5,set,D,124
12,5,tie,,125
3,5,set,E,126
5,5,set,B,127
7,5,set,C,128
5,5,set,C,129
8,5,set,B,130
7,5,set,A,131
4,5,tie,,132
10,5,set,B,133
2,5,tie,,134
4,5,tie,,135
7,5,set,A,136
2,5,tie,,137
2,5,tie,,138
7,5,set,B,139
7,5,tie,,140
1,5,tie,,141
3,5,set,E,142
4,5,tie,,143
7,5,tie,,144
6,5,tie,,145
4,5,set,E,146
9,5,set,E,147
12,5,set,B,148
4,5,set,E,149
15,5,set,E,150
7,5,set,C,151
4,5,set,B,152
4,5,tie,,153
7,5,tie,,154
6,5,tie,,155
3,5,tie,,156
12,5,set,B,157
5,5,set,B,158
1,5,tie,,159
5,5,set,C,160
6,5,set,C,161
6,5,set,E,162
17,5,set,E,163
3,5,set,B,164
6,5,set,D,165
13,5,set,B,166
8,5,set,A,167
1,5,tie,,168
9,5,tie,,169
10,5,set,E,170
10,5,set,A,171
5,5,tie,,172
7,5,tie,,173
3,5,set,B,174
17,5,set,B,175
4,5,set,A,176
3,5,set,C,177
4,5,set,B,178
4,5,set,D,179
4,5,set,B,180
9,5,tie,,181
5,5,tie,,182
1,5,tie,,183
13,5,tie,,184
4,5,set,C,185
2,5,set,A,186
8,5,set,D,187
10,5,tie,,188
8,5,set,C,189
9,5,set,B,190
2,5,tie,,191
10,5,tie,,192
3,5,tie,,193
5,5,tie,,194
6,5,set,A,195
1,5,tie,,196
1,5,tie,,197
1,5,tie,,198
6,5,set,C,199
9,5,tie,,200
4,5,tie,,201
2,5,tie,,202
6,5,tie,,203
4,5,set,E,204
5,5,set,A,205
1,5,tie,,206
21,5,tie,,207
3,5,set,E,208
4,5,set,C,209
2,5,tie,,210
5,5,tie,,211
1,5,tie,,212
4,5,set,B,213
11,5,tie,,214
9,5,tie,,215
4,5,tie,,216
2,5,tie,,217
4,5,set,B,218
1,5,tie,,219
10,5,set,D,220
7,5,set,E,221
4,5,set,C,222
4,5,tie,,223
2,5,tie,,224
6,5,tie,,225
2,5,tie,,226
5,5,set,E,227
3,5,set,D,228
6,5,tie,,229
3,5,tie,,230
4,5,tie,,231
5,5,set,A,232
3,5,tie,,233
7,5,tie,,234
6,5,tie,,235
5,5,tie,,236
3,5,tie,,237
2,5,tie,,238
3,5,set,C,239
3,5,set,D,240
3,5,set,E,241
7,5,tie,,242
10,5,tie,,243
1,5,tie,,244
1,5,tie,,245
2,5,set,A,246
1,5,tie,,247
4,5,set,A,248
6,5,tie,,249
4,5,tie,,250
4,5,set,B,251
22,5,tie,,252
4,5,tie,,253
11,5,set,D,254
9,5,tie,,255
18,5,tie,,256
1,5,tie,,257
6,5,set,C,258
10,5,tie,,259
5,5,tie,,260
4,5,set,C,261
1,5,tie,,262
21,5,tie,,263
8,5,set,B,264
12,5,set,A,265
4,5,set,D,266
5,5,tie,,267
6,5,tie,,268
5,5,set,B,269
7,5,set,C,270
3,5,set,B,271
4,5,set,C,272
1,5,tie,,273
4,5,tie,,274
9,5,set,A,275
4,5,set,C,276
8,5,set,B,277
4,5,set,E,278
11,5,set,A,279
13,5,tie,,280
3,5,set,C,281
7,5,tie,,282
3,5,set,D,283
7,5,set,A,284
5,5,set,E,285
4,5,tie,,286
4,5,set,A,287
12,5,set,C,288
9,5,tie,,289
8,5,set,E,290
5,5,tie,,291
4,5,set,B,292
4,5,tie,,293
2,5,tie,,294
6,5,set,C,295
7,5,tie,,296
1,5,tie,,297
1,5,tie,,298
9,5,tie,,299
1,5,tie,,300
6,5,set,C,301
5,5,set,B,302
7,5,set,D,303
12,5,tie,,304
4,5,tie,,305
7,5,tie,,306
1,5,tie,,307
9,5,set,C,308
7,5,tie,,309
10,5,set,B,310
7,5,set,E,311
5,5,tie,,312
4,5,set,C,313
6,5,set,A,314
6,5,set,D,315
2,5,set,C,316
4,5,tie,,317
2,5,set,D,318
7,5,set,B,319
7,5,tie,,320
6,5,tie,,321
18,5,set,C,322
7,5,set,B,323
4,5,set,E,324
5,5,tie,,325
5,5,tie,,326
6,5,set,C,327
3,5,set,A,328
8,5,tie,,329
4,5,set,E,330
9,5,set,E,331
9,5,tie,,332
16,5,set,D,333
5,5,set,C,334
4,5,tie,,335
15,5,tie,,336
4,5,tie,,337
1,5,tie,,338
6,5,set,A,339
10,5,tie,,340
8,5,tie,,341
6,5,set,A,342
5,5,tie,,343
2,5,tie,,344
7,5,set,D,345
3,5,set,E,346
4,5,set,B,347
7,5,tie,,348
5,5,set,A,349
1,5,tie,,350
4,5,set,A,351
10,5,set,A,352
5,5,set,C,353
4,5,tie,,354
3,5,set,B,355
4,5,tie,,356
10,5,set,B,357
3,5,set,D,358
7,5,tie,,359
6,5,set,B,360
2,5,set,E,361
3,5,tie,,362
8,5,tie,,363
6,5,set,E,364
6,5,tie,,365
1,5,tie,,366
5,5,set,D,367
