end_rounds,n_players,result,winner,iter
45,3,set,A,319
15,3,set,A,320
15,3,set,B,321
10,3,set,C,322
4,3,set,B,323
5,3,set,A,324
19,3,set,C,325
8,3,set,C,326
5,3,set,B,327
5,3,set,C,328
11,3,set,C,329
4,3,set,A,330
3,3,set,B,331
6,3,set,B,332
7,3,set,B,333
2,3,set,C,334
4,3,set,A,335
4,3,set,A,336
24,3,set,B,337
9,3,set,C,338
8,3,set,C,339
6,3,set,B,340
16,3,set,B,341
8,3,set,B,342
26,3,set,B,343
5,3,set,B,344
9,3,set,C,345
3,3,set,B,346
6,3,set,A,347
11,3,tie,,348
13,3,set,A,349
4,3,set,A,350
13,3,set,A,351
10,3,set,A,352
2,3,set,A,353
1,3,tie,,354
11,3,set,B,355
6,3,set,C,356
11,3,set,B,357
2,3,set,C,358
20,3,set,C,359
5,3,set,B,360
20,3,set,C,361
5,3,set,C,362
10,3,set,A,363
6,3,set,C,364
2,3,set,B,365
19,3,set,A,366
10,3,set,B,367
61,3,set,B,368
17,3,set,C,369
8,3,set,A,370
6,3,tie,,371
10,3,set,B,372
8,3,set,A,373
10,3,set,A,374
19,3,set,C,375
13,3,set,A,376
21,3,set,B,377
12,3,set,A,378
20,3,tie,,379
9,3,set,B,380
35,3,set,A,381
22,3,set,A,382
3,3,set,B,383
23,3,set,A,384
3,3,set,C,385
6,3,set,B,386
3,3,set,C,387
8,3,set,B,388
6,3,set,A,389
18,3,set,C,390
8,3,set,C,391
3,3,set,B,392
5,3,set,B,393
23,3,set,A,394
3,3,set,A,395
5,3,set,A,396
16,3,set,A,397
16,3,set,A,398
32,3,set,C,399
4,3,set,B,400
12,3,set,A,401
8,3,set,C,402
6,3,set,C,403
3,3,tie,,404
29,3,set,B,405
14,3,set,A,406
6,3,set,C,407
8,3,set,B,408
10,3,set,A,409
12,3,set,C,410
7,3,set,A,411
4,3,set,C,412
10,3,set,A,413
3,3,set,B,414
11,3,set,C,415
10,3,set,C,416
16,3,set,A,417
5,3,set,A,418
26,3,set,A,419
12,3,set,C,420
7,3,set,B,421
11,3,set,A,422
7,3,set,A,423
8,3,set,C,424
6,3,tie,,425
10,3,set,A,426
22,3,set,C,427
5,3,set,C,428
26,3,tie,,429
58,3,set,C,430
7,3,set,A,431
17,3,set,B,432
36,3,set,C,433
24,3,set,C,434
6,3,set,A,435
33,3,set,A,436
5,3,set,A,437
19,3,set,A,438
31,3,tie,,439
7,3,set,B,440
8,3,tie,,441
6,3,set,B,442
38,3,set,C,443
7,3,set,A,444
4,3,set,C,445
3,3,tie,,446
7,3,set,A,447
2,3,set,C,448
8,3,set,B,449
1,3,tie,,450
10,3,set,C,451
14,3,set,B,452
17,3,set,B,453
8,3,set,A,454
5,3,set,B,455
5,3,set,B,456
6,3,set,A,457
8,3,set,C,458
40,3,set,C,459
8,3,set,C,460
11,3,set,B,461
3,3,tie,,462
13,3,set,C,463
5,3,set,A,464
9,3,set,C,465
23,3,set,C,466
12,3,set,C,467
1,3,tie,,468
38,3,tie,,469
5,3,set,C,470
3,3,set,C,471
4,3,set,B,472
3,3,set,B,473
22,3,set,C,474
6,3,set,B,475
18,3,set,C,476
22,3,tie,,477
12,3,set,B,478
19,3,set,A,479
17,3,set,A,480
6,3,set,A,481
21,3,set,C,482
6,3,set,C,483
2,3,set,C,484
4,3,set,C,485
3,3,set,C,486
18,3,tie,,487
6,3,set,B,488
24,3,set,B,489
3,3,tie,,490
4,3,set,B,491
9,3,set,B,492
33,3,tie,,493
3,3,set,B,494
19,3,set,C,495
16,3,set,B,496
7,3,set,C,497
6,3,set,C,498
2,3,set,C,499
11,3,set,C,500
22,3,set,C,501
36,3,tie,,502
12,3,tie,,503
8,3,tie,,504
4,3,tie,,505
8,3,set,A,506
25,3,set,B,507
9,3,set,A,508
23,3,set,B,509
4,3,tie,,510
18,3,set,C,511
4,3,set,B,512
14,3,set,C,513
16,3,set,A,514
23,3,set,A,515
13,3,set,B,516
4,3,set,C,517
25,3,set,A,518
15,3,set,B,519
6,3,set,B,520
17,3,set,C,521
10,3,set,A,522
12,3,set,A,523
23,3,set,C,524
8,3,set,A,525
5,3,set,A,526
24,3,set,A,527
11,3,set,C,528
7,3,set,C,529
6,3,set,C,530
17,3,set,A,531
4,3,set,C,532
3,3,set,B,533
4,3,set,B,534
6,3,set,A,535
5,3,set,C,536
3,3,set,B,537
8,3,set,C,538
8,3,set,B,539
5,3,set,C,540
9,3,set,B,541
9,3,tie,,542
7,3,set,A,543
51,3,set,B,544
8,3,set,A,545
22,3,set,B,546
4,3,set,B,547
4,3,set,B,548
4,3,set,B,549
9,3,set,B,550
7,3,set,B,551
17,3,set,A,552
12,3,set,B,553
10,3,set,B,554
19,3,set,B,555
3,3,set,C,556
3,3,set,C,557
16,3,set,C,558
4,3,set,A,559
5,3,set,B,560
4,3,set,A,561
8,3,set,A,562
19,3,set,B,563
16,3,set,B,564
2,3,set,B,565
4,3,set,B,566
6,3,set,A,567
7,3,set,A,568
6,3,set,C,569
3,3,tie,,570
5,3,set,A,571
3,3,set,B,572
16,3,set,A,573
4,3,set,A,574
18,3,set,B,575
14,3,set,A,576
4,3,set,B,577
8,3,set,C,578
3,3,set,C,579
27,3,set,A,580
28,3,set,B,581
5,3,set,C,582
16,3,tie,,583
8,3,set,C,584
10,3,set,C,585
4,3,set,B,586
4,3,set,B,587
9,3,set,A,588
8,3,set,C,589
5,3,tie,,590
15,3,set,A,591
1,3,tie,,592
8,3,set,A,593
14,3,set,B,594
5,3,tie,,595
2,3,set,B,596
25,3,set,B,597
2,3,set,C,598
6,3,set,B,599
23,3,tie,,600
3,3,set,C,601
18,3,set,B,602
6,3,set,A,603
8,3,set,B,604
15,3,set,B,605
10,3,set,A,606
6,3,tie,,607
8,3,set,A,608
8,3,set,C,609
4,3,set,C,610
5,3,set,A,611
4,3,set,A,612
17,3,set,B,613
5,3,set,C,614
48,3,set,A,615
17,3,set,A,616
7,3,set,B,617
5,3,set,C,618
27,3,set,A,619
16,3,set,A,620
14,3,set,C,621
6,3,set,B,622
4,3,tie,,623
13,3,set,C,624
23,3,set,C,625
4,3,set,C,626
5,3,set,A,627
22,3,set,C,628
9,3,set,A,629
19,3,set,C,630
7,3,set,C,631
10,3,set,B,632
3,3,set,A,633
6,3,set,C,634
32,3,tie,,635
14,3,set,C,636
19,3,set,A,637
14,3,set,A,638
5,3,set,B,639
10,3,set,B,640
3,3,tie,,641
6,3,set,A,642
2,3,set,A,643
5,3,set,C,644
13,3,set,C,645
24,3,tie,,646
9,3,set,B,647
9,3,set,B,648
3,3,set,C,649
7,3,set,B,650
9,3,set,A,651
9,3,set,C,652
6,3,tie,,653
16,3,set,C,654
16,3,set,A,655
20,3,set,C,656
8,3,set,B,657
10,3,set,B,658
6,3,set,C,659
10,3,set,B,660
3,3,tie,,661
3,3,set,C,662
7,3,set,A,663
9,3,set,A,664
7,3,set,B,665
18,3,set,A,666
22,3,set,B,667
15,3,set,A,668
4,3,set,A,669
7,3,set,C,670
13,3,set,C,671
7,3,set,C,672
