end_rounds,n_players,result,winner,iter
6,4,set,D,1
7,4,set,A,2
16,4,set,C,3
5,4,set,C,4
15,4,set,B,5
1,4,tie,,6
5,4,set,C,7
30,4,set,A,8
4,4,set,B,9
12,4,set,A,10
2,4,tie,,11
3,4,set,D,12
10,4,tie,,13
12,4,set,A,14
7,4,set,D,15
19,4,set,A,16
4,4,set,D,17
4,4,set,D,18
7,4,set,C,19
1,4,tie,,20
1,4,tie,,21
29,4,tie,,22
4,4,set,C,23
5,4,set,A,24
8,4,set,C,25
7,4,set,C,26
4,4,tie,,27
8,4,set,C,28
6,4,set,B,29
1,4,tie,,30
7,4,set,C,31
7,4,set,C,32
3,4,set,C,33
21,4,set,C,34
12,4,tie,,35
8,4,set,D,36
24,4,set,B,37
7,4,set,B,38
16,4,tie,,39
4,4,set,A,40
7,4,set,D,41
3,4,set,D,42
11,4,set,C,43
5,4,set,B,44
20,4,set,A,45
7,4,set,B,46
31,4,set,C,47
18,4,set,B,48
5,4,tie,,49
4,4,set,D,50
6,4,set,B,51
10,4,tie,,52
10,4,set,C,53
5,4,set,D,54
8,4,tie,,55
6,4,set,A,56
2,4,tie,,57
4,4,set,A,58
15,4,set,D,59
16,4,set,B,60
12,4,set,A,61
6,4,set,A,62
6,4,set,C,63
11,4,set,A,64
10,4,set,A,65
13,4,set,D,66
5,4,set,A,67
7,4,tie,,68
6,4,set,C,69
1,4,tie,,70
22,4,set,A,71
5,4,set,B,72
3,4,set,A,73
8,4,set,D,74
6,4,set,D,75
8,4,set,D,76
11,4,set,B,77
10,4,tie,,78
9,4,set,A,79
9,4,tie,,80
7,4,set,D,81
8,4,set,C,82
8,4,tie,,83
2,4,set,A,84
16,4,set,A,85
4,4,set,D,86
3,4,set,D,87
8,4,set,A,88
11,4,tie,,89
4,4,set,B,90
10,4,set,A,91
3,4,set,C,92
16,4,set,A,93
7,4,set,B,94
23,4,set,C,95
6,4,tie,,96
1,4,tie,,97
13,4,set,B,98
10,4,set,D,99
13,4,set,C,100
4,4,set,D,101
13,4,tie,,102
5,4,set,D,103
2,4,set,D,104
6,4,set,A,105
6,4,set,D,106
4,4,set,A,107
6,4,set,A,108
20,4,set,A,109
3,4,set,B,110
8,4,set,C,111
8,4,tie,,112
13,4,set,D,113
16,4,set,B,114
9,4,set,B,115
7,4,set,B,116
14,4,set,D,117
1,4,tie,,118
4,4,set,D,119
13,4,tie,,120
3,4,tie,,121
3,4,set,C,122
2,4,tie,,123
11,4,set,D,124
8,4,set,A,125
14,4,tie,,126
4,4,set,A,127
5,4,tie,,128
2,4,tie,,129
7,4,tie,,130
8,4,set,D,131
4,4,set,A,132
2,4,tie,,133
2,4,set,C,134
30,4,set,A,135
13,4,set,C,136
10,4,set,B,137
11,4,set,C,138
11,4,set,A,139
14,4,set,C,140
6,4,tie,,141
5,4,tie,,142
28,4,set,D,143
5,4,tie,,144
6,4,set,C,145
4,4,tie,,146
3,4,set,B,147
7,4,set,D,148
18,4,set,A,149
3,4,set,A,150
5,4,set,D,151
9,4,tie,,152
14,4,set,C,153
3,4,tie,,154
8,4,set,D,155
4,4,set,B,156
6,4,set,B,157
4,4,set,D,158
7,4,tie,,159
29,4,set,B,160
10,4,set,C,161
16,4,set,D,162
7,4,tie,,163
5,4,set,C,164
4,4,set,A,165
10,4,set,A,166
5,4,tie,,167
21,4,set,A,168
5,4,tie,,169
6,4,set,C,170
9,4,tie,,171
3,4,set,A,172
8,4,set,D,173
4,4,set,B,174
9,4,set,A,175
13,4,set,C,176
3,4,set,A,177
2,4,tie,,178
14,4,set,A,179
6,4,set,D,180
10,4,set,C,181
5,4,set,D,182
11,4,set,A,183
5,4,set,A,184
9,4,set,A,185
9,4,set,D,186
9,4,tie,,187
6,4,set,D,188
5,4,tie,,189
11,4,set,B,190
4,4,set,B,191
17,4,set,A,192
5,4,set,B,193
14,4,set,C,194
28,4,tie,,195
9,4,set,D,196
6,4,set,A,197
4,4,tie,,198
15,4,set,A,199
6,4,set,D,200
12,4,set,D,201
6,4,set,A,202
7,4,set,C,203
12,4,tie,,204
1,4,tie,,205
10,4,set,B,206
1,4,tie,,207
6,4,tie,,208
4,4,set,D,209
12,4,set,C,210
4,4,set,A,211
4,4,set,C,212
2,4,set,B,213
24,4,set,C,214
5,4,tie,,215
2,4,tie,,216
8,4,set,A,217
3,4,set,D,218
6,4,tie,,219
6,4,set,D,220
3,4,tie,,221
4,4,set,D,222
11,4,set,C,223
8,4,tie,,224
18,4,set,A,225
8,4,tie,,226
5,4,set,A,227
4,4,set,D,228
16,4,tie,,229
7,4,set,D,230
2,4,set,A,231
10,4,set,C,232
8,4,set,A,233
23,4,set,C,234
4,4,tie,,235
19,4,set,B,236
10,4,set,C,237
3,4,set,B,238
6,4,set,A,239
17,4,tie,,240
14,4,tie,,241
11,4,tie,,242
2,4,set,B,243
5,4,set,D,244
10,4,set,D,245
3,4,tie,,246
6,4,set,C,247
4,4,tie,,248
3,4,set,B,249
4,4,set,A,250
5,4,set,B,251
8,4,set,A,252
5,4,tie,,253
6,4,set,B,254
4,4,set,D,255
6,4,set,B,256
2,4,tie,,257
5,4,set,A,258
36,4,set,D,259
5,4,set,A,260
25,4,set,A,261
6,4,set,D,262
6,4,set,A,263
5,4,set,D,264
4,4,tie,,265
10,4,set,C,266
7,4,set,A,267
7,4,set,A,268
5,4,tie,,269
6,4,tie,,270
6,4,set,C,271
7,4,set,A,272
4,4,set,D,273
3,4,set,D,274
4,4,set,C,275
6,4,tie,,276
3,4,set,C,277
