end_rounds,n_players,result,winner,iter
14,2,set,A,1
71,2,set,B,2
3,2,set,A,3
5,2,set,A,4
3,2,set,B,5
23,2,set,A,6
9,2,set,B,7
11,2,set,A,8
11,2,set,B,9
13,2,set,A,10
15,2,set,A,11
47,2,set,A,12
6,2,set,B,13
62,2,set,B,14
33,2,set,A,15
36,2,set,B,16
14,2,set,A,17
7,2,set,B,18
19,2,set,B,19
7,2,set,B,20
6,2,set,A,21
36,2,set,A,22
21,2,set,B,23
18,2,set,B,24
4,2,set,B,25
28,2,set,A,26
11,2,set,B,27
20,2,set,A,28
7,2,set,A,29
5,2,set,B,30
80,2,set,B,31
4,2,set,A,32
21,2,set,B,33
22,2,set,B,34
40,2,set,B,35
8,2,set,B,36
46,2,set,B,37
30,2,set,A,38
8,2,set,A,39
7,2,set,A,40
20,2,set,A,41
26,2,set,B,42
6,2,set,B,43
21,2,set,A,44
4,2,set,A,45
51,2,set,B,46
11,2,set,B,47
10,2,set,B,48
4,2,set,B,49
26,2,set,B,50
12,2,set,B,51
13,2,set,A,52
22,2,set,B,53
3,2,set,A,54
7,2,set,B,55
17,2,set,A,56
40,2,set,B,57
8,2,set,A,58
5,2,set,A,59
74,2,set,A,60
8,2,set,B,61
5,2,set,A,62
11,2,set,B,63
50,2,set,B,64
28,2,set,B,65
27,2,set,A,66
30,2,set,A,67
77,2,set,A,68
15,2,set,B,69
13,2,set,B,70
35,2,set,B,71
14,2,set,B,72
29,2,set,A,73
55,2,set,A,74
25,2,set,A,75
14,2,set,B,76
11,2,set,B,77
43,2,set,A,78
13,2,set,B,79
8,2,set,B,80
28,2,set,B,81
12,2,set,A,82
3,2,set,B,83
7,2,set,A,84
34,2,set,A,85
24,2,set,A,86
12,2,set,B,87
17,2,set,B,88
25,2,set,B,89
21,2,set,A,90
12,2,set,B,91
10,2,set,A,92
5,2,set,A,93
8,2,set,B,94
5,2,set,B,95
16,2,set,B,96
29,2,set,B,97
18,2,set,B,98
62,2,set,A,99
59,2,set,A,100
8,2,set,A,101
6,2,set,B,102
11,2,set,A,103
8,2,set,A,104
21,2,set,B,105
17,2,set,A,106
2,2,set,A,107
4,2,set,A,108
32,2,set,A,109
48,2,set,A,110
42,2,set,B,111
